head_forward_x,head_forward_y,neck_angle,spine_tilt,shoulder_hip_distance,shoulder_forward_offset,hip_tilt,trunk_to_hip_angle,torso_lean_x,torso_lean_y,com_shift_x,label,timestamp
-0.454,-0.343,0.240,-1.625,1.000,-0.053,-2.847,0.851,-0.053,-0.983,-0.027,head_forward,1758906470555
-0.500,-0.242,0.220,-1.638,1.000,-0.065,-2.851,0.789,-0.065,-0.965,-0.032,head_forward,1758906471179
0.071,0.200,2.352,-1.497,1.000,0.071,3.136,1.387,0.071,-0.963,0.036,slouched,1758906518828
0.152,-0.284,1.949,-1.468,1.000,0.100,3.077,1.615,0.100,-0.970,0.050,slouched,1758906535696
0.257,-0.005,3.139,-1.423,1.000,0.142,3.094,1.743,0.142,-0.957,0.071,slouched,1758906537129
0.168,0.159,2.389,-1.306,1.000,0.244,3.094,1.826,0.244,-0.897,0.122,slouched,1758906538774
0.192,0.190,2.306,-1.289,1.000,0.259,3.123,1.841,0.259,-0.893,0.129,slouched,1758906539612
0.346,-0.106,1.935,-1.396,1.000,0.172,3.020,1.948,0.172,-0.970,0.086,slouched,1758906545559
0.393,-0.015,2.808,-1.374,1.000,0.189,3.036,2.015,0.189,-0.948,0.094,slouched,1758906546650
0.195,-0.411,1.464,-1.479,1.000,0.092,3.004,1.738,0.092,-0.997,0.046,slouched,1758906547799
0.426,-0.244,0.987,-1.367,1.000,0.197,3.029,2.003,0.197,-0.950,0.098,slouched,1758906553136
0.400,0.090,0.687,-1.137,1.000,0.411,3.059,2.297,0.411,-0.888,0.206,slouched,1758906557244
0.410,0.219,0.816,-1.012,1.000,0.509,3.067,2.516,0.509,-0.814,0.254,slouched,1758906558439
0.411,0.199,0.852,-1.005,1.000,0.512,3.087,2.479,0.512,-0.807,0.256,slouched,1758906559077
0.474,-0.051,0.097,-1.016,1.000,0.514,2.965,2.509,0.514,-0.829,0.257,slouched,1758906565854
0.496,0.027,0.258,-0.981,1.000,0.541,2.965,2.617,0.541,-0.809,0.270,slouched,1758906566906
0.515,-0.034,0.101,-1.243,1.000,0.317,2.893,2.438,0.317,-0.931,0.159,slouched,1758906584656
0.512,0.163,0.617,-1.003,1.000,0.508,2.900,2.769,0.508,-0.797,0.254,slouched,1758906585924
0.505,0.227,0.444,-0.774,1.000,0.719,2.902,2.989,0.719,-0.702,0.359,slouched,1758906587285
0.367,-0.364,0.514,-1.519,1.000,0.055,2.693,2.202,0.055,-1.047,0.027,slouched,1758906607726
0.321,-0.251,0.997,-1.351,1.000,0.226,2.799,2.182,0.226,-1.013,0.113,slouched,1758906610114
0.327,-0.460,0.769,-1.569,1.000,0.002,2.781,2.039,0.002,-1.044,0.001,slouched,1758906611365
0.299,-0.409,1.251,-1.484,1.000,0.088,2.987,1.818,0.088,-1.003,0.044,slouched,1758906615414
0.247,-0.389,1.272,-1.371,1.000,0.199,2.959,1.898,0.199,-0.982,0.099,slouched,1758906676859
0.301,-0.372,1.413,-1.459,1.000,0.110,3.055,1.783,0.110,-0.981,0.055,slouched,1758906680474
0.486,-0.476,0.956,-1.522,1.000,0.049,3.021,1.885,0.049,-0.990,0.024,slouched,1758906685971
-0.252,-0.478,0.707,-1.397,1.000,0.169,-2.854,1.127,0.169,-0.964,0.085,slouched,1758906689920
-0.365,-0.303,0.877,-1.748,1.000,-0.175,-2.941,0.848,-0.175,-0.976,-0.087,slouched,1758906691344
-0.356,-0.318,0.886,-1.772,1.000,-0.195,-2.978,0.877,-0.195,-0.957,-0.098,slouched,1758906692268
-0.418,-0.253,0.697,-1.868,1.000,-0.284,-2.984,0.773,-0.284,-0.926,-0.142,slouched,1758906693055
-0.447,-0.047,0.208,-1.930,1.000,-0.342,-2.860,0.522,-0.342,-0.909,-0.171,slouched,1758906696081
-0.440,-0.080,0.399,-1.888,1.000,-0.301,-2.952,0.637,-0.301,-0.916,-0.150,slouched,1758906696752
-0.426,-0.073,0.360,-1.887,1.000,-0.298,-2.951,0.643,-0.298,-0.912,-0.149,slouched,1758906697230
-0.470,-0.152,0.207,-1.908,1.000,-0.314,-2.832,0.552,-0.314,-0.896,-0.157,slouched,1758906697656
-0.388,-0.322,0.382,-1.763,1.000,-0.184,-2.855,0.785,-0.184,-0.944,-0.092,slouched,1758906699184
-0.385,-0.330,0.329,-1.659,1.000,-0.086,-2.710,0.735,-0.086,-0.966,-0.043,slouched,1758906699814
